DOID:1964 DOID:5564
DOID:12987 DOID:1227
DOID:11180 DOID:11181
DOID:11180 DOID:9739
DOID:11180 DOID:3697
DOID:11184 DOID:11213
DOID:11184 DOID:11197
DOID:11184 DOID:11190
DOID:11184 DOID:11219
DOID:12571 DOID:12570
DOID:12571 DOID:13641
DOID:12577 DOID:1829
DOID:12574 DOID:0111079
DOID:11984 DOID:0080326
DOID:5306 DOID:6210
DOID:5306 DOID:8050
DOID:5306 DOID:8051
DOID:654 DOID:9970
DOID:654 DOID:9971
DOID:654 DOID:9972
DOID:0050589 DOID:0110888
DOID:0050589 DOID:0110889
DOID:0050589 DOID:0110882
DOID:0050589 DOID:0110883
DOID:0050589 DOID:0110884
DOID:0050589 DOID:0110885
DOID:0050589 DOID:0110886
DOID:0050589 DOID:0110887
DOID:0050589 DOID:0110908
DOID:0050589 DOID:0110901
DOID:0050589 DOID:0110900
DOID:0050589 DOID:0110903
DOID:0050589 DOID:0110902
DOID:0050589 DOID:0110905
DOID:0050589 DOID:0110904
